pasta-whole-wheat-dry|Whole wheat pasta, dry||348|14.6|75.0|1.40|9.0|2.8|0.26|8|2 oz dry (56 g)@56*;100 g@100|ret=0;car=0;ffol=44;fac=0;dfe=44
pasta-whole-wheat-cooked|Whole wheat pasta, cooked||124|5.33|26.5|0.54|3.9|1.1|0.10|3|1 cup cooked (140 g)@140*;1/2 cup (70 g)@70|ret=0;car=0;ffol=16;fac=0;dfe=16
pasta-gluten-free-cooked|Gluten-free pasta, corn and rice, cooked||145|2.8|31.5|0.9|2.6|0.5|0.15|3|1 cup cooked (140 g)@140*;100 g@100|v=0
pasta-chickpea-dry|Chickpea pasta, dry|banza|340|24.0|60.0|5.0|16.0|4.0|0.5|60|2 oz dry (56 g)@56*;100 g@100|brand=Banza;src=manufacturer label
pasta-chickpea-cooked|Chickpea pasta, cooked||160|11.0|28.0|2.3|7.5|1.9|0.25|28|1 cup cooked (140 g)@140*;100 g@100|v=0
pasta-lentil-dry|Red lentil pasta, dry||340|25.0|58.0|1.5|9.0|2.0|0.3|20|2 oz dry (56 g)@56*;100 g@100|v=0
pasta-lentil-cooked|Red lentil pasta, cooked||150|11.0|26.0|0.7|4.0|0.9|0.15|9|1 cup cooked (140 g)@140*;100 g@100|v=0
pasta-protein-plus-dry|Protein plus pasta, dry||360|17.0|66.0|3.0|5.0|2.5|0.5|10|2 oz dry (56 g)@56*;100 g@100|brand=Barilla;src=manufacturer label;v=0
pasta-egg-noodles-cooked|Egg noodles, cooked||138|4.54|25.2|2.07|1.2|0.4|0.42|5|1 cup cooked (160 g)@160*;100 g@100
pasta-gnocchi|Gnocchi, potato, cooked||175|4.0|35.0|1.5|2.0|1.0|0.3|400|1 cup (160 g)@160*;100 g@100|v=0
pasta-ravioli-cheese|Ravioli, cheese, cooked||180|8.0|26.0|4.5|2.0|2.0|2.2|420|1 cup (140 g)@140*;100 g@100|v=0
pasta-tortellini-cheese|Tortellini, cheese, cooked||250|11.0|38.0|6.0|2.0|2.0|3.0|500|1 cup (150 g)@150*;100 g@100|v=0
pasta-couscous-israeli|Israeli couscous, cooked||130|4.5|26.0|0.3|1.5|0.1|0.05|5|1 cup (157 g)@157*;100 g@100|v=0
noodle-rice-cooked|Rice noodles, cooked|pad thai noodles;rice stick|108|0.91|24.9|0.20|1.0|0.1|0.05|19|1 cup cooked (176 g)@176*;100 g@100
noodle-rice-vermicelli-cooked|Rice vermicelli, cooked||109|1.0|25.0|0.2|1.0|0.1|0.05|20|1 cup cooked (176 g)@176*;100 g@100|v=0
noodle-soba-cooked|Soba noodles, cooked|buckwheat noodles|99|5.06|21.4|0.10|0|0|0.02|60|1 cup cooked (114 g)@114*;100 g@100
noodle-udon-cooked|Udon noodles, cooked||127|3.5|27.0|0.3|1.5|0.5|0.05|180|1 cup cooked (200 g)@200*;100 g@100|v=0
noodle-ramen-instant|Instant ramen noodles with seasoning|cup noodles|448|10.0|65.0|17.0|3.0|2.0|8.0|1800|1 package (85 g)@85*;1/2 package (43 g)@43|v=0
noodle-ramen-fresh-cooked|Fresh ramen noodles, cooked||130|4.5|26.0|0.8|1.5|0.5|0.15|280|1 serving (150 g)@150*;100 g@100|v=0
noodle-glass-cooked|Glass noodles, cooked|cellophane noodles;mung bean noodles|82|0.1|20.0|0.02|0.3|0|0|4|1 cup cooked (190 g)@190*;100 g@100|v=0
noodle-shirataki|Shirataki noodles|konjac noodles;miracle noodles|9|0|3.0|0|3.0|0|0|10|1 package (200 g)@200*;100 g@100|v=0
noodle-egg-lo-mein|Lo mein noodles, cooked||140|5.0|27.0|1.5|1.5|0.5|0.3|180|1 cup (160 g)@160*;100 g@100|v=0
noodle-zucchini|Zucchini noodles, raw|zoodles|17|1.2|3.1|0.3|1.0|2.5|0.1|8|1 cup (124 g)@124*;100 g@100
