#category: legume
#source: USDA FoodData Central (SR Legacy)
#servings: 1/2 cup (90 g)@90*;1 cup (180 g)@180;100 g@100
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- beans ---------------------------------------------------------------
split-peas-cooked|Split peas, cooked||118|8.34|21.1|0.39|8.3|2.9|0.05|4|1 cup (196 g)@196*;100 g@100|ret=0;car=1;ffol=65;fac=0;dfe=65

# --- soy -----------------------------------------------------------------
edamame-cooked|Edamame, shelled, cooked||121|11.9|8.91|5.20|5.2|2.2|0.62|6|1 cup (155 g)@155*;1/2 cup (78 g)@78|ret=0;car=8;ffol=311;fac=0;dfe=311
edamame-in-pod|Edamame, in pod, cooked||121|11.9|8.91|5.20|5.2|2.2|0.62|6|1 cup shelled (155 g)@155*;1 cup pods (128 g)@60|v=0
soybeans-cooked|Soybeans, cooked||173|16.6|9.93|8.97|6.0|3.0|1.30|1|1 cup (172 g)@172*;100 g@100
tofu-firm|Tofu, firm||144|15.8|4.27|8.72|2.3|0.6|1.26|14|1/2 block (126 g)@126*;3 oz (85 g)@85;1 cup cubed (252 g)@252|ret=0;car=0;ffol=19;fac=0;dfe=19
tofu-extra-firm|Tofu, extra firm||101|10.1|2.53|5.70|1.3|0.5|0.83|11|1 serving (79 g)@79*;1/2 block (140 g)@140|src=manufacturer label
tofu-silken|Tofu, silken, soft||55|4.80|2.00|2.70|0.2|1.0|0.4|4|1/2 cup (124 g)@124*;100 g@100
tofu-baked-seasoned|Tofu, baked, seasoned||180|18.0|8.0|9.0|1.5|3.0|1.3|420|1 serving (85 g)@85*;100 g@100|v=0
tempeh|Tempeh||192|20.3|7.64|10.8|0|0|2.22|9|3 oz (85 g)@85*;1/2 cup (83 g)@83
natto|Natto||211|19.4|12.7|11.0|5.4|4.9|1.59|7|1/2 cup (88 g)@88*;100 g@100
tvp-dry|Textured vegetable protein, dry|tvp;soy crumbles|327|51.5|33.9|1.22|17.5|13.9|0.18|3|1/4 cup (24 g)@24*;100 g@100|
soy-curls-dry|Soy curls, dry||390|35.0|30.0|17.0|12.0|4.0|2.5|10|1 cup (40 g)@40*;100 g@100|v=0
seitan|Seitan, wheat gluten|wheat meat|141|25.0|5.0|2.0|1.0|0|0.3|400|3 oz (85 g)@85*;100 g@100|v=0

# --- plant-based meat ----------------------------------------------------
beyond-burger-patty|Beyond Burger patty, cooked||221|17.7|4.4|15.9|1.8|0|4.4|345|1 patty (113 g)@113*;100 g@100|brand=Beyond Meat;src=manufacturer label
impossible-burger-patty|Impossible Burger patty, cooked||195|16.8|8.0|11.5|4.4|0.9|5.3|327|1 patty (113 g)@113*;100 g@100|brand=Impossible Foods;src=manufacturer label
beyond-sausage|Beyond Sausage link, cooked||219|15.5|5.3|15.0|1.8|0|5.3|500|1 link (76 g)@76*;100 g@100|brand=Beyond Meat;src=manufacturer label;v=0
plant-chicken-nuggets|Plant-based chicken nuggets||250|14.0|18.0|13.0|3.0|1.0|1.5|550|4 nuggets (85 g)@85*;100 g@100|v=0
veggie-burger-generic|Veggie burger patty, grain and vegetable||177|13.0|17.0|6.0|5.0|2.0|1.0|400|1 patty (70 g)@70*;100 g@100|v=0

# --- legume-based dishes & spreads ---------------------------------------
hummus-plain|Hummus, plain||166|7.90|14.3|9.60|6.0|0.3|1.44|379|2 tbsp (30 g)@30*;1/4 cup (60 g)@60;1 cup (246 g)@246
hummus-roasted-red-pepper|Hummus, roasted red pepper||160|6.5|14.0|9.0|5.0|1.5|1.3|390|2 tbsp (30 g)@30*;1/4 cup (60 g)@60|v=0
falafel|Falafel, fried||333|13.3|31.8|17.8|4.9|0|2.38|294|3 pieces (51 g)@51*;1 piece (17 g)@17
bean-dip-black|Black bean dip||120|5.0|18.0|2.5|5.0|1.0|0.4|450|2 tbsp (32 g)@32*;100 g@100|v=0
peanut-legume-boiled|Boiled peanuts, in shell||318|13.5|21.3|22.0|8.8|0|3.1|750|1/2 cup shelled (63 g)@63*;100 g@100|v=0
dal-cooked|Dal, lentil curry, cooked||120|6.0|15.0|4.0|4.0|1.5|1.5|350|1 cup (200 g)@200*;100 g@100|v=0
chili-vegetarian|Chili, vegetarian, with beans||110|5.5|17.0|2.0|5.0|4.0|0.4|450|1 cup (245 g)@245*;100 g@100|v=0
