#category: bread
#source: USDA FoodData Central (SR Legacy)
#servings: 1 slice (28 g)@28*;2 slices (56 g)@56;100 g@100
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- sliced loaves -------------------------------------------------------
bread-white|White bread, sliced|sandwich bread|266|9.0|49.0|3.3|2.4|5.7|0.72|490|1 slice (28 g)@28*;2 slices (56 g)@56;1 thin slice (22 g)@22|ret=0;car=0;ffol=22;fac=91;dfe=176
bread-whole-wheat|Whole wheat bread, sliced|wheat bread|254|12.3|43.1|3.5|6.0|5.6|0.77|450|1 slice (28 g)@28*;2 slices (56 g)@56|ret=0;car=0;ffol=44;fac=0;dfe=44
bread-multigrain|Multigrain bread, sliced||265|13.4|43.3|4.2|7.4|6.0|0.92|429|1 slice (26 g)@26*;2 slices (52 g)@52|
bread-cinnamon-raisin|Cinnamon raisin bread||274|7.9|51.6|4.4|4.3|13.0|1.0|332|1 slice (28 g)@28*;100 g@100|v=0
bread-texas-toast|Texas toast, thick sliced||275|8.5|48.0|5.5|2.0|5.0|1.3|480|1 slice (43 g)@43*;100 g@100|v=0
bread-garlic|Garlic bread, prepared||350|8.0|41.0|17.0|2.0|3.0|5.0|560|1 slice (40 g)@40*;100 g@100|v=0
bread-cornbread|Cornbread||330|7.0|50.0|11.0|2.0|13.0|2.8|600|1 piece (65 g)@65*;100 g@100|v=0
bread-banana|Banana bread||326|4.3|54.6|10.5|1.1|29.0|2.7|302|1 slice (60 g)@60*;100 g@100|v=0
bread-french-baguette|French bread, baguette||274|8.8|51.9|2.3|2.2|4.4|0.5|602|1 slice (32 g)@32*;1/4 baguette (57 g)@57|ret=0;car=0;ffol=25;fac=95;dfe=187
bread-ciabatta|Ciabatta||271|9.0|52.0|2.5|2.5|1.5|0.5|560|1 roll (57 g)@57*;100 g@100|v=0
bread-focaccia|Focaccia||300|8.0|44.0|10.0|2.0|1.5|1.5|560|1 piece (60 g)@60*;100 g@100|v=0

# --- rolls, buns and bagels ----------------------------------------------
bagel-plain|Bagel, plain|new york bagel|275|10.5|53.5|1.7|2.3|5.9|0.24|500|1 medium bagel (98 g)@98*;1 large bagel (131 g)@131;1 mini bagel (49 g)@49|ret=0;car=0;ffol=27;fac=104;dfe=204
bagel-everything|Bagel, everything||280|10.6|53.0|2.5|2.5|5.5|0.4|560|1 medium bagel (98 g)@98*;100 g@100|v=0
bagel-whole-wheat|Bagel, whole wheat||250|10.6|48.5|1.5|6.5|4.5|0.3|450|1 medium bagel (98 g)@98*;100 g@100|v=0
bagel-cinnamon-raisin|Bagel, cinnamon raisin||274|9.8|55.2|1.7|2.3|7.5|0.26|340|1 medium bagel (98 g)@98*;100 g@100
english-muffin-plain|English muffin, plain||235|8.0|46.0|1.8|3.5|3.6|0.26|460|1 muffin (57 g)@57*;1/2 muffin (29 g)@29|ret=0;car=0;ffol=25;fac=95;dfe=187
english-muffin-whole-wheat|English muffin, whole wheat||207|8.8|43.0|2.0|7.0|4.0|0.3|420|1 muffin (57 g)@57*;100 g@100|
bun-hamburger|Hamburger bun, white||279|9.5|50.0|4.2|2.3|6.0|1.0|480|1 bun (52 g)@52*;100 g@100|ret=0;car=0;ffol=22;fac=88;dfe=172
bun-hot-dog|Hot dog bun, white||279|9.5|50.0|4.2|2.3|6.0|1.0|480|1 bun (43 g)@43*;100 g@100
bun-brioche|Brioche bun||320|9.0|50.0|9.0|1.5|8.0|4.5|420|1 bun (60 g)@60*;100 g@100|v=0
bun-pretzel|Pretzel bun||290|9.0|52.0|5.0|2.0|4.0|1.2|700|1 bun (85 g)@85*;100 g@100|v=0
roll-dinner|Dinner roll, white||316|9.0|53.0|7.3|2.3|6.0|1.7|500|1 roll (28 g)@28*;2 rolls (56 g)@56
roll-hawaiian|Hawaiian sweet roll||330|8.0|58.0|7.0|1.5|17.0|3.0|340|1 roll (28 g)@28*;2 rolls (56 g)@56|v=0
roll-sub|Sub roll, 6 inch|hoagie roll|280|9.5|52.0|3.5|2.5|4.0|0.8|560|1 roll (85 g)@85*;1 footlong (170 g)@170|v=0
sandwich-thin|Sandwich thin, whole wheat||233|9.3|46.5|2.3|11.6|4.7|0.5|500|1 thin (43 g)@43*;100 g@100|v=0
biscuit-buttermilk|Buttermilk biscuit, baked||353|6.4|44.6|16.3|1.5|3.0|4.2|870|1 biscuit (60 g)@60*;100 g@100

# --- flatbreads ----------------------------------------------------------
tortilla-flour-8|Flour tortilla, 8 inch|burrito tortilla|306|8.2|51.4|7.0|3.0|2.0|1.7|675|1 tortilla (45 g)@45*;2 tortillas (90 g)@90|ret=0;car=0;ffol=13;fac=70;dfe=132
tortilla-flour-10|Flour tortilla, 10 inch, burrito size||306|8.2|51.4|7.0|3.0|2.0|1.7|675|1 tortilla (72 g)@72*;100 g@100
tortilla-flour-6|Flour tortilla, 6 inch, taco size||306|8.2|51.4|7.0|3.0|2.0|1.7|675|1 tortilla (28 g)@28*;2 tortillas (56 g)@56
tortilla-corn|Corn tortilla, 6 inch||218|5.7|44.6|2.85|6.3|0.8|0.4|45|1 tortilla (26 g)@26*;2 tortillas (52 g)@52;3 tortillas (78 g)@78
tortilla-low-carb|Low-carb tortilla, high fiber|carb balance tortilla|178|11.1|40.0|6.7|26.7|0|2.2|667|1 tortilla (45 g)@45*;2 tortillas (90 g)@90|brand=Mission;src=manufacturer label
tortilla-whole-wheat|Whole wheat tortilla, 8 inch||290|9.0|48.0|7.0|6.0|2.5|1.5|610|1 tortilla (45 g)@45*;100 g@100|v=0
tortilla-spinach-wrap|Spinach wrap, 10 inch||290|8.0|49.0|7.0|3.0|2.0|1.5|650|1 wrap (71 g)@71*;100 g@100|v=0
pita-white|Pita bread, white|pocket bread|275|9.1|55.7|1.2|2.2|1.2|0.17|536|1 pita, 6.5 in (60 g)@60*;1/2 pita (30 g)@30
pita-whole-wheat|Pita bread, whole wheat||266|9.8|55.7|2.6|7.4|0.9|0.4|522|1 pita, 6.5 in (64 g)@64*;1/2 pita (32 g)@32|
naan-plain|Naan bread, plain||310|8.7|50.0|8.0|2.2|3.2|1.6|480|1 naan (90 g)@90*;1/2 naan (45 g)@45|v=0
naan-garlic|Naan bread, garlic||320|8.5|50.0|9.0|2.2|3.5|1.8|520|1 naan (90 g)@90*;100 g@100|v=0
lavash|Lavash flatbread||275|9.0|55.0|1.5|2.5|1.5|0.3|500|1 sheet (57 g)@57*;100 g@100|v=0
flatbread-greek|Greek-style flatbread||290|8.5|48.0|7.0|2.5|3.0|1.5|540|1 flatbread (62 g)@62*;100 g@100|v=0
roti-chapati|Roti, chapati||297|11.0|55.0|4.0|8.0|1.0|0.9|280|1 roti (45 g)@45*;100 g@100|v=0
matzo|Matzo, plain||395|10.0|83.7|1.4|3.0|1.5|0.2|3|1 board (28 g)@28*;100 g@100
crumpet|Crumpet||200|5.0|40.0|1.0|2.0|1.5|0.2|500|1 crumpet (60 g)@60*;100 g@100|v=0

# --- crumbs and other ----------------------------------------------------
breadcrumbs-plain|Breadcrumbs, dry, plain||395|13.4|71.9|5.3|4.5|6.2|1.2|732|1/4 cup (27 g)@27*;1 tbsp (7 g)@7|ret=0;car=0;ffol=26;fac=112;dfe=217
breadcrumbs-panko|Panko breadcrumbs||380|12.0|72.0|4.0|3.0|4.0|0.7|380|1/4 cup (15 g)@15*;1/2 cup (30 g)@30|v=0
croutons-seasoned|Croutons, seasoned||407|11.9|63.5|11.9|5.0|3.0|3.3|1100|1/4 cup (8 g)@8*;1/2 cup (15 g)@15
stuffing-prepared|Stuffing, bread, prepared||177|3.2|21.7|8.6|2.9|2.0|1.7|543|1/2 cup (100 g)@100*;1 cup (200 g)@200
pizza-dough-raw|Pizza dough, raw||270|9.0|50.0|3.5|2.0|3.0|0.6|530|1/4 lb (113 g)@113*;100 g@100|v=0
puff-pastry-raw|Puff pastry, frozen, raw||551|7.3|45.1|38.1|1.5|0.9|9.5|300|1 sheet (105 g)@105*;100 g@100
phyllo-dough|Phyllo dough||299|7.1|52.6|6.0|2.0|0.3|0.9|483|1 sheet (19 g)@19*;100 g@100
