#category: condiment
#source: USDA FoodData Central (SR Legacy)
#servings: 1 tbsp (15 g)@15*;1 tsp (5 g)@5;100 g@100
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra
oyster-sauce|Oyster sauce||51|1.35|10.9|0.25|0.3|1.0|0.06|2733|1 tbsp (16 ml)@18.4*;1 tsp (5 ml)@5.8|d=1.15
worcestershire-sauce|Worcestershire sauce||78|0|19.5|0|0|10.0|0|980|1 tsp (5 ml)@5.7*;1 tbsp (15 ml)@17|d=1.13
hot-sauce-generic|Hot sauce, cayenne pepper|tabasco;franks red hot|11|0.5|1.8|0.4|0.3|0.9|0.06|2643|1 tsp (5 ml)@5*;1 tbsp (15 ml)@15|d=1.02
sriracha|Sriracha sauce||93|1.9|19.2|0.9|2.5|15.4|0.1|2124|1 tsp (5 g)@5*;1 tbsp (15 g)@15|d=1.1
sambal-oelek|Sambal oelek chili paste||20|1.0|4.0|0.3|1.5|1.0|0|1900|1 tsp (5 g)@5*;1 tbsp (15 g)@15|d=1.05;v=0
gochujang|Gochujang, Korean chili paste||210|5.0|45.0|1.0|3.0|25.0|0.2|2400|1 tbsp (18 g)@18*;1 tsp (6 g)@6|d=1.2;v=0
harissa-paste|Harissa paste||130|3.0|12.0|8.0|4.0|4.0|1.0|1600|1 tbsp (16 g)@16*;1 tsp (5 g)@5|d=1.1;v=0
miso-paste-white|Miso paste, white|shiro miso|198|12.8|25.4|6.0|5.4|6.2|1.02|3728|1 tbsp (17 g)@17*;1 tsp (6 g)@6|d=1.2
wasabi-paste|Wasabi paste||265|3.0|40.0|10.0|8.0|20.0|1.0|1200|1 tsp (5 g)@5*;1 tbsp (15 g)@15|d=1.1;v=0
vinegar-balsamic|Balsamic vinegar||88|0.49|17.0|0|0|14.9|0|23|1 tbsp (15 ml)@16*;1 tsp (5 ml)@5.3|d=1.06;fl=acid
vinegar-apple-cider|Apple cider vinegar|acv|21|0|0.93|0|0|0.40|0|5|1 tbsp (15 ml)@15*;1 tsp (5 ml)@5|d=1.01;fl=acid
vinegar-white-distilled|White distilled vinegar||18|0|0.04|0|0|0.04|0|2|1 tbsp (15 ml)@15*;1 cup (240 ml)@239|d=1.0;fl=acid
vinegar-rice|Rice vinegar, seasoned||53|0|13.0|0|0|13.0|0|530|1 tbsp (15 ml)@16*;1 tsp (5 ml)@5.2|d=1.04;v=0
vinegar-red-wine|Red wine vinegar||19|0.04|0.27|0|0|0.06|0|8|1 tbsp (15 ml)@15*;1 tsp (5 ml)@5|d=1.01;fl=acid
relish-sweet-pickle|Sweet pickle relish||130|0.37|35.1|0.46|1.2|30.0|0.06|1043|1 tbsp (15 g)@15*;1 tsp (5 g)@5|d=1.1
capers-drained|Capers, drained||23|2.36|4.89|0.86|3.2|0.41|0.23|2348|1 tbsp (9 g)@9*;1 tsp (3 g)@3|d=-
tartar-sauce|Tartar sauce||358|0.9|10.0|35.0|0.5|5.0|5.3|790|2 tbsp (28 g)@28*;1 tbsp (14 g)@14|d=0.95;v=0
cocktail-sauce|Cocktail sauce||120|1.5|28.0|0.4|1.5|20.0|0.05|1300|2 tbsp (34 g)@34*;1 tbsp (17 g)@17|d=1.13;v=0
horseradish-cream|Horseradish sauce, creamy||220|1.0|10.0|20.0|1.5|6.0|3.0|550|1 tbsp (15 g)@15*;1 tsp (5 g)@5|d=1.0;v=0
aioli-garlic|Garlic aioli||600|1.0|3.0|64.0|0|1.5|10.0|500|1 tbsp (14 g)@14*;2 tbsp (28 g)@28|d=0.92;v=0
chimichurri|Chimichurri sauce||280|1.5|4.0|29.0|1.5|1.0|4.2|700|2 tbsp (30 g)@30*;1 tbsp (15 g)@15|d=0.95;v=0
tzatziki|Tzatziki sauce||90|3.0|4.0|7.0|0.3|3.0|3.5|280|2 tbsp (30 g)@30*;1/4 cup (60 g)@60|d=1.0;v=0
hummus-condiment-garlic|Garlic hummus, single serve||170|6.0|14.0|10.0|5.0|1.0|1.5|350|1 cup (57 g)@57*;2 tbsp (30 g)@30|d=-;v=0
sauce-sweet-chili|Sweet chili sauce||225|0.5|55.0|0.2|0.5|48.0|0|1200|1 tbsp (18 g)@18*;2 tbsp (36 g)@36|d=1.2;v=0
ponzu|Ponzu sauce||50|3.0|9.0|0|0|6.0|0|3400|1 tbsp (16 ml)@17.6*;1 tsp (5 ml)@5.5|d=1.1;v=0
sauce-hoisin|Hoisin sauce||220|3.31|44.1|3.39|2.8|29.6|0.63|1615|1 tbsp (16 g)@16*;1 tsp (5 g)@5|d=1.2
sauce-duck|Duck sauce, plum sauce||184|0.4|45.0|0.2|0.5|38.0|0|350|1 tbsp (18 g)@18*;1 packet (14 g)@14|d=1.2;v=0
pickle-juice|Pickle brine||8|0.3|1.6|0.1|0|0.6|0|1600|1/4 cup (60 ml)@61*;1 shot (30 ml)@30|d=1.02;v=0
jalapenos-pickled|Jalapeños, pickled, sliced||18|0.9|3.7|0.5|1.9|1.5|0.1|1671|1/4 cup (30 g)@30*;1 tbsp (8 g)@8|d=-
giardiniera|Giardiniera, pickled vegetables||70|1.0|4.0|6.0|1.5|2.0|0.9|900|2 tbsp (30 g)@30*;100 g@100|d=-;v=0
salsa-jarred-medium|Salsa, jarred, medium||29|1.46|5.60|0.18|1.5|3.30|0.03|711|2 tbsp (32 g)@32*;1/4 cup (65 g)@65|d=1.05
salsa-verde|Salsa verde, tomatillo||36|1.2|6.0|1.0|1.5|3.5|0.15|780|2 tbsp (32 g)@32*;1/4 cup (65 g)@65|d=1.05;v=0
nut-butter-drizzle-honey|Hot honey||304|0.3|82.0|0|0.3|80.0|0|20|1 tbsp (21 g)@21*;1 tsp (7 g)@7|d=1.42;v=0
everything-bagel-seasoning|Everything bagel seasoning||400|15.0|25.0|27.0|12.0|2.0|4.0|3000|1 tsp (3 g)@3*;1 tbsp (9 g)@9|d=-;v=0
